0_to_6_month_mean_count_penalised_1.5x,0_to_6_month_mean_count_penalised_2x,0_to_6_month_mean_count_penalised_3x,0_to_6_month_mean_count_penalised_5x,0_to_9_month_mean,0_to_9_month_median,0_to_9_month_weighted,0_to_9_month_rat_diff_av,0_to_9_month_sd,0_to_9_month_count,0_to_9_month_mean_count_penalised_2x,0_to_1_year_mean,0_to_1_year_median,0_to_1_year_weighted,0_to_1_year_rat_diff_av,0_to_1_year_sd_adj,0_to_1_year_sd_diff,0_to_1_year_count,0_to_1_year_wd_percent,0_to_1_year_mean_count_penalised_1x,0_to_1_year_mean_count_penalised_1.5x,0_to_1_year_mean_count_penalised_2x,0_to_1_year_mean_count_penalised_3x,0_to_1_year_mean_count_penalised_5x,0_to_1_year_mean_count_penalised_10x,0_to_15_month_mean,0_to_15_month_median,0_to_15_month_weighted,0_to_15_month_rat_diff_av,0_to_15_month_sd,0_to_15_month_count,0_to_15_month_mean_count_penalised_2x,0_to_18_month_mean,0_to_18_month_median,0_to_18_month_weighted,0_to_18_month_rat_diff_av,0_to_18_month_sd,0_to_18_month_count,0_to_18_month_mean_count_penalised_2x,0_to_21_month_mean,0_to_21_month_median,0_to_21_month_weighted,0_to_21_month_rat_diff_av,0_to_21_month_sd
74.71519316,74.79630387,74.95852529,75.28296813,74.30566327,74.49719173,74.25847662,0.259828653,2.43493531,52,74.58301337,74.00379636,74.36314822,74.13708949,-0.041507842,2.696857346,2.703160619,67,0.014925373,74.12596581,74.18705053,74.24813525,74.37030469,74.61464358,75.2254908,74.04667839,74.36314822,74.10765792,0.02271426,2.687327676,81,74.26890061,74.18607659,74.52158834,74.12206872,0.207367182,2.683092848,100,74.38607659,74.01981781,74.49898479,74.10521265,0.068299928,2.689240271
73.32597582,73.4022251,73.55472367,73.85972081,73.20318809,73.62792151,73.26324749,-0.058120945,2.408550602,56,73.47044933,73.22482535,73.60358176,73.2206252,0.001204191,2.463892674,2.501665816,66,0.0,73.34791684,73.40946259,73.47100834,73.59409983,73.84028281,74.45574026,73.3322696,73.62792151,73.25294652,0.211653289,2.633192963,86,73.54793515,73.19849317,73.41000066,73.28357213,0.177968662,2.809743841,113,73.38663735,73.05387528,73.20119496,73.23426564,0.049021029,2.748588119
76.68950619,76.79861513,77.01683302,77.4532688,76.56608616,76.10452558,76.3322553,0.73320829,3.236070621,26,76.95831843,76.08199125,75.52987517,76.31829352,0.730979789,3.093675003,3.14505928,33,0.0,76.2560689,76.34310773,76.43014656,76.60422422,76.95237953,77.82276781,76.08199125,75.52987517,76.2505239,0.730979789,3.093675003,33,76.43014656,76.08199125,75.52987517,76.21264242,0.730979789,3.093675003,33,76.43014656,76.08199125,75.52987517,76.18866509,0.730979789,3.093675003
72.95837442,73.05122209,73.23691743,73.60830811,72.41573967,72.81229884,72.67192824,0.036209679,2.912646454,45,72.71388207,72.36171466,72.78118648,72.56641364,-0.084380035,2.769261297,2.828979525,58,0.0,72.49302109,72.55867431,72.62432753,72.75563396,73.01824683,73.67477899,72.55640476,72.8456015,72.53480967,0.036460798,2.584748947,75,72.78734486,72.52158995,72.8456015,72.52755758,-0.017134279,2.665568343,93,72.72898028,72.54783228,72.82895017,72.52618456,-0.041583562,2.73780728
71.47757616,71.54499615,71.67983612,71.94951607,71.48386944,71.62879399,71.42387893,-0.160224286,2.905188625,85,71.7007999,71.49135516,71.62879399,71.45397346,-0.16658732,2.893173119,2.907869637,105,0.00952381,71.58894516,71.63774017,71.68653517,71.78412518,71.97930519,72.46725523,71.60408669,71.80829911,71.47286389,-0.104514956,2.860862138,129,71.78017687,71.60820954,71.76831502,71.50540922,-0.161780726,2.836123218,157,71.76782692,71.59555523,71.56182391,71.53700418,-0.197852377,2.877444734
71.62821742,71.70275302,71.85182422,72.14996661,71.57380419,71.62003354,71.43639845,-0.306418278,2.491763945,72,71.80950645,71.78026215,72.01210257,71.55548975,-0.122807007,2.429077812,2.429855398,92,0.0,71.88451936,71.93664796,71.98877657,72.09303377,72.30154819,72.82283422,71.65803686,71.74041299,71.61251136,-0.273442004,2.399118904,107,71.85138415,71.75327282,71.85381301,71.64359043,-0.199169104,2.394684557,130,71.92868443,71.84801018,72.03252354,71.68796506,-0.096029398,2.369477675
75.47785186,75.5869608,75.80517869,76.24161447,75.65506437,75.34851463,75.1922739,-1.407028462,2.793007374,30,76.02021274,76.2459332,75.58122806,75.48512756,-0.989539981,3.156316004,3.099855231,39,0.051282051,76.40606135,76.48612543,76.5661895,76.72631766,77.04657396,77.84721473,76.37509605,75.62016781,75.78126468,-0.851807273,2.990922273,44,76.67660739,76.37509605,75.62016781,75.94127462,-0.851807273,2.990922273,44,76.67660739,76.37509605,75.62016781,76.03335732,-0.851807273,2.990922273
73.30937376,73.37938777,73.51941578,73.79947179,73.30465749,72.79458421,73.17482927,0.159501639,2.503801655,70,73.54370322,73.08883563,72.79458421,73.16322244,-0.090745453,2.753844694,2.78288009,86,0.011627907,73.1966684,73.25058479,73.30450117,73.41233395,73.62799949,74.16716336,73.03598891,72.74501646,73.14390016,-0.190581563,2.709963511,105,73.23116893,73.15125659,72.74501646,73.1312659,-0.119307458,2.784245291,123,73.33159051,73.23571965,72.94796692,73.15097401,-0.041839974,2.736400899
74.81710136,74.89930085,75.06369984,75.39249781,74.37396819,74.53384196,74.38371837,0.328920374,2.408324475,51,74.65402421,74.0859617,74.41184486,74.23021229,0.042819297,2.680992898,2.687858836,66,0.015151515,74.20905319,74.27059894,74.33214468,74.45523618,74.70141916,75.31687661,74.08698547,74.41184486,74.18463327,0.063796303,2.679530012,80,74.31059226,74.22005602,74.52835375,74.18779342,0.242429973,2.675034191,99,74.42106359,74.05409327,74.49898479,74.16025328,0.095172098,2.678204345
77.24167512,77.35078406,77.56900195,78.00543773,76.63028928,76.59642096,76.64461871,0.259681669,2.498850745,28,77.00825375,76.34996743,76.49658497,76.56110208,0.092060996,2.466933966,2.412953758,34,0.0,76.52146602,76.60721531,76.6929646,76.86446319,77.20746036,78.06495328,76.5720413,76.64983821,76.53671527,0.374959462,2.431167229,38,76.89648414,76.38019311,76.4883165,76.5269166,0.371398194,2.249235687,50,76.66303582,76.14883476,76.42999237,76.44681332,0.186054695,2.511618022
