adj_score,rd_score,player_name,round_date,year,month,quarter,season_phase,tournament_tier_field_strength,tournament_tier_top50_av,elo_rating_pre_rd,wd_percentage_adj,tour,field_strength,tour_tier,tour_0_to_1_year_count,tour_0_to_1_year_percentage,tour_0_to_1_year_mode,tour_0_to_3_year_count,tour_0_to_3_year_percentage,tour_0_to_3_year_mode,tour_0_to_5_year_count,tour_0_to_5_year_percentage,tour_0_to_5_year_mode,tour_0_to_10_year_count,tour_0_to_10_year_percentage,tour_0_to_10_year_mode,1_tournament_mean,1_tournament_count,1_rd_mean,days_since_1_rd,2_to_4_rd_mean,5_to_12_rd_mean,13_to_28_rd_mean,29_to_60_rd_mean,61_to_120_rd_mean,121_to_240_rd_mean,1_to_20_rd_mean,0_to_20_rd_sd,days_since_20_rd,1_to_20_rd_mean_days_penalty_15x,1_to_50_rd_mean,1_to_50_rd_median,1_to_50_rd_sd,days_since_50_rd
73.85734596,73,mind muangkhumsakul,2024-12-19,2024,12,4,late_season,10,13,1274,0.0025,tlpga,76.19374555,15,32,1.0,tlpga,32,0.551724138,tlpga,32,0.285714286,lpga,32,0.139737991,epson,74.9061941,3,74.30739617,1,74.9061941,77.48853694,76.30194958,74.6354343,73.75192783,73.5776766,76.48742102,3.136624643,141.0,75.22419314,75.71588792,75.5890791,2.817867109,916
72.8456015,72,p.k. kongkraphan,2024-12-19,2024,12,4,late_season,10,13,1277,0.0025,tlpga,76.19374555,15,36,0.631578947,tlpga,70,0.454545455,tlpga,70,0.331753555,thai,70,0.096551724,thai,75.60846738,3,77.31985817,1,75.60846738,72.10062517,72.11995299,72.50976454,72.73520663,73.13362212,72.3496156,3.237519833,83.0,70.7031517,72.42619395,72.78118648,2.875022319,300
70.82211257,70,pei-yun chien,2024-12-19,2024,12,4,late_season,10,13,1272,0.005865391,tlpga,76.19374555,15,4,0.038461538,lpga,10,0.039840637,lpga,15,0.041436464,lpga,69,0.070841889,lpga,73.47954339,2,72.29908816,1,72.19627214,71.19224902,72.20969008,71.33859648,71.52371821,71.94188778,71.56395789,3.24435881,89.0,69.97396107,71.27462844,71.54992536,3.057976185,175
74.86909043,74,tzu chi lin,2024-12-19,2024,12,4,late_season,10,13,1279,0.0025,tlpga,76.19374555,15,38,0.76,tlpga,71,0.731958763,tlpga,112,0.682926829,tlpga,268,0.303167421,tlpga,76.31946702,3,79.32816618,1,76.31946702,77.07797079,77.39631441,77.34516941,76.90147829,75.18865595,77.17252889,2.791481453,91.0,75.60010163,76.86612418,77.11727276,2.967064648,365
73.85734596,73,wei-ling hsu,2024-12-19,2024,12,4,late_season,10,13,1270,0.0025,tlpga,76.19374555,15,11,0.120879121,lpga,24,0.097165992,lpga,33,0.096774194,lpga,54,0.057324841,lpga,72.66051105,2,70.29078016,1,71.65025057,71.52417622,71.60681269,71.6733551,72.03375203,72.02396489,71.43595204,2.107770117,89.0,69.84595522,71.46165438,71.42147015,2.174956906,194
74.86909043,74,yani tseng,2024-12-19,2024,12,4,late_season,10,13,1275,0.033143988,tlpga,76.19374555,15,11,0.289473684,lpga,16,0.372093023,lpga,28,0.394366197,lpga,37,0.034514925,lpga,76.77826871,2,75.31155017,1,75.4429578,74.44400756,76.46523215,77.72010026,74.03396733,72.7239244,75.1564655,2.441179982,182.0,74.04459153,76.49270029,75.86012563,2.835233919,1287
77.90432382,77,yu-sang hou,2024-12-19,2024,12,4,late_season,10,13,1274,0.00479985,tlpga,76.19374555,15,9,0.105882353,epson,19,0.086363636,lpga,36,0.131868132,lpga,75,0.192802057,lpga,72.49672385,4,74.30739617,1,72.94049602,72.40455785,73.20789115,73.1315037,72.98799993,73.43059462,72.68585036,1.935477681,90.0,71.10471153,73.00323191,72.79458421,2.313339404,181
74.30739617,74,chieh jessica peng,2024-12-18,2024,12,4,late_season,10,13,1274,0.013425315,tlpga,76.21528877,15,24,0.369230769,epson,38,0.20212766,epson,62,0.267241379,epson,133,0.29753915,epson,74.21385577,3,73.21710954,5,74.93379466,73.88964954,74.95143347,73.82030747,74.02221805,73.99207191,74.23018143,2.875719824,95.0,72.6912139,74.37529963,74.5628996,2.432756136,271
72.29908816,72,chorphaka jaengkit,2024-12-18,2024,12,4,late_season,10,13,1272,0.0025,tlpga,76.21528877,15,28,0.848484848,tlpga,50,0.458715596,tlpga,50,0.331125828,thai,90,0.231362468,thai,75.25981448,3,76.35498566,5,74.5848274,77.50115915,76.56128263,75.7328315,76.5309702,75.29639206,77.14511129,2.483938018,140.0,75.87737991,76.39902969,76.4883165,2.21808841,558
71.29493416,71,min lee,2024-12-18,2024,12,4,late_season,10,13,1271,0.006348384,tlpga,76.21528877,15,18,0.28125,lpga,31,0.145539906,lpga,57,0.192567568,lpga,80,0.098039216,lpga,72.84784043,3,76.35498566,5,72.69829013,74.15188933,72.71783685,73.34868146,73.14121249,72.53062321,73.42442236,2.595266431,90.0,71.84328353,73.12569279,73.60358176,2.418569871,226
